SEASON,RANK,PLAYER,AGE,TEAM,POSITION,GP,G,A,PTS,PLUS_MIN,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO_PCT,BLK,HIT,TAKE,GIVE
2024_2025,36,John Tavares,34,TOR,C,75,38,36,74,10,46,26,12,0,8,28,8,0,200,19,342,1366:55:00,18:14,762,546,58.3,45,92,24,69
2024_2025,37,Matt Boldy,23,MIN,LW,82,27,46,73,1,51,21,6,0,10,31,15,0,271,10,550,1663:38:00,20:17,58,67,46.4,69,52,43,84
2024_2025,38,Adrian Kempe,28,LAK,LW,81,35,38,73,22,36,27,7,1,5,27,11,0,237,14.8,496,1551:35:00,19:09,11,13,45.8,36,100,13,78
2024_2025,39,Alex Ovechkin,39,WSH,LW,65,44,29,73,15,14,30,14,0,7,21,8,0,237,18.6,508,1152:05:00,17:43,0,2,0,13,110,12,47
2024_2025,40,Tage Thompson,27,BUF,C,76,44,28,72,-2,35,37,7,0,6,19,9,0,242,18.2,506,1425:29:00,18:45,301,403,42.8,31,70,21,54
2024_2025,41,Aleksander Barkov,29,FLA,C,67,20,51,71,1,16,10,9,1,4,29,19,3,149,13.4,302,1357:17:00,20:15,580,446,56.5,54,87,34,52
2024_2025,42,Wyatt Johnston,21,DAL,C,82,33,38,71,2,14,19,11,3,4,24,14,0,202,16.3,389,1551:55:00,18:56,465,444,51.2,47,45,29,57
2024_2025,43,Cole Caufield,24,MTL,RW,82,37,33,70,9,14,27,10,0,8,26,7,0,239,15.5,431,1482:14:00,18:05,6,9,40,31,66,23,56
2024_2025,44,Alex DeBrincat,27,DET,RW,82,39,31,70,-13,29,26,13,0,4,15,16,0,244,16,456,1465:26:00,17:52,26,32,44.8,38,33,29,71
2024_2025,45,Jack Hughes,23,NJD,C,62,27,43,70,12,18,20,6,1,7,21,21,1,229,11.8,465,1295:51:00,20:54,251,416,37.6,29,7,22,87
2024_2025,46,Jordan Kyrou,26,STL,C,82,36,34,70,23,20,29,7,0,4,24,10,0,239,15.1,465,1433:34:00,17:29,5,10,33.3,36,50,21,79
2024_2025,47,Dylan Larkin,28,DET,C,82,30,40,70,-16,40,17,13,0,3,26,14,0,234,12.8,456,1645:48:00,20:04,871,728,54.5,33,44,39,94
2024_2025,48,Rickard Rakell,31,PIT,RW,81,35,35,70,-22,14,26,9,0,1,25,10,0,203,17.2,409,1563:06:00,19:18,19,26,42.2,77,116,20,77
2024_2025,49,J.T. Miller,31,2TM,C,72,22,48,70,-6,55,17,5,0,2,27,17,4,137,16.1,272,1310:25:00,18:12,628,450,58.3,50,168,28,71
2024_2025,49,J.T. Miller,31,VAN,C,40,9,26,35,-4,37,7,2,0,2,14,12,0,82,11,151,718:07:00,17:57,409,289,58.6,28,92,11,36
2024_2025,49,J.T. Miller,31,NYR,C,32,13,22,35,-2,18,10,3,0,0,13,5,4,55,23.6,121,592:18:00,18:31,219,161,57.6,22,76,17,35
2024_2025,50,Nico Hischier,26,NJD,C,75,35,34,69,9,20,21,14,0,3,17,15,2,187,18.7,345,1529:06:00,20:23,987,790,55.5,60,44,24,53
2024_2025,51,Drake Batherson,26,OTT,C,82,26,42,68,-9,30,13,13,0,3,24,18,0,192,13.5,354,1487:41:00,18:09,12,12,50,30,149,23,52
2024_2025,52,Rasmus Dahlin,24,BUF,D,73,17,51,68,11,54,12,5,0,1,34,16,1,200,8.5,433,1769:12:00,24:14:00,0,0,,98,101,39,105
2024_2025,53,JJ Peterka,23,BUF,RW,77,27,41,68,-1,34,21,6,0,3,29,12,0,173,15.6,384,1400:10:00,18:11,2,10,16.7,16,30,22,87
2024_2025,54,Connor Bedard,19,CHI,C,82,23,44,67,-36,70,12,11,0,5,26,18,0,195,11.8,402,1663:25:00,20:17,251,405,38.3,37,47,26,90
2024_2025,55,Evan Bouchard,25,EDM,D,82,14,53,67,14,32,11,3,0,2,30,23,0,235,6,544,1923:35:00,23:28,0,0,,108,31,55,128
2024_2025,56,Roope Hintz,28,DAL,LW,76,28,39,67,18,30,20,7,1,7,25,13,1,160,17.5,285,1283:44:00,16:53,458,392,53.9,46,53,17,70
2024_2025,57,Seth Jarvis,22,CAR,C,73,32,35,67,12,16,20,7,5,2,21,12,2,204,15.7,392,1412:59:00,19:21,52,100,34.2,51,93,32,58
2024_2025,58,Nazem Kadri,34,CGY,C,82,35,32,67,-17,72,26,9,0,5,19,13,0,279,12.5,547,1587:06:00,19:21,677,787,46.2,30,55,30,60
2024_2025,59,Anže Kopitar,37,LAK,C,81,21,46,67,14,4,17,4,0,7,27,18,1,98,21.4,197,1535:25:00,18:57,879,658,57.2,67,31,30,65
2024_2025,60,Mark Stone,32,VEG,RW,66,19,48,67,22,14,14,5,0,4,27,20,1,131,14.5,227,1270:47:00,19:15,5,10,33.3,42,32,38,73
2024_2025,61,Alex Tuch,28,BUF,RW,82,36,31,67,16,47,27,3,6,4,20,8,3,196,18.4,391,1578:51:00,19:15,77,111,41,113,73,49,76
2024_2025,62,Pierre-Luc Dubois,26,WSH,LW,82,20,46,66,27,76,16,4,0,4,36,10,0,142,14.1,288,1418:35:00,17:18,577,584,49.7,62,65,15,65
2024_2025,63,Victor Hedman,34,TBL,D,79,15,51,66,18,30,11,4,0,1,29,22,0,181,8.3,475,1823:18:00,23:05,0,0,,133,39,25,119
2024_2025,64,Lane Hutson,20,MTL,D,82,6,60,66,-2,34,5,1,0,0,35,25,0,91,6.6,297,1864:07:00,22:44,0,0,,123,40,56,109
2024_2025,65,Aliaksei Protas,24,WSH,C,76,30,36,66,40,18,27,0,3,6,33,1,2,142,21.1,249,1250:40:00,16:27,6,19,24,33,20,19,56
2024_2025,66,Mikael Granlund,32,2TM,C,83,22,44,66,0,28,16,5,1,4,30,14,0,169,13,326,1614:20:00,19:27,359,365,49.6,60,57,19,79
2024_2025,66,Mikael Granlund,32,SJS,C,52,15,30,45,-8,20,9,5,1,1,20,10,0,126,11.9,237,1084:31:00,20:51,326,348,48.4,37,37,13,57
2024_2025,66,Mikael Granlund,32,DAL,C,31,7,14,21,8,8,7,0,0,3,10,4,0,43,16.3,89,529:49:00,17:05,33,17,66,23,20,6,22
2024_2025,67,Logan Cooley,20,UTA,C,75,25,40,65,1,46,18,7,0,2,27,13,0,158,15.8,293,1339:36:00,17:52,340,420,44.7,32,63,24,66
2024_2025,68,Bryan Rust,32,PIT,RW,71,31,34,65,-21,18,26,5,0,5,21,13,0,190,16.3,335,1402:18:00,19:45,9,8,52.9,54,62,17,64
2024_2025,69,Tom Wilson,30,WSH,RW,81,33,32,65,20,100,20,11,2,6,23,6,3,169,19.5,335,1516:52:00,18:44,5,14,26.3,71,233,20,91
2024_2025,70,Macklin Celebrini,18,SJS,F,70,25,38,63,-31,28,17,8,0,4,24,14,0,236,10.6,457,1385:10:00,19:47,507,544,48.2,53,37,29,113
2024_2025,71,Nikolaj Ehlers,28,WPG,LW,69,24,39,63,14,17,18,6,0,5,23,16,0,174,13.8,365,1089:51:00,15:48,5,14,26.3,33,38,16,52
2024_2025,72,Dylan Holloway,23,STL,C,77,26,37,63,21,10,20,6,0,8,30,7,0,178,14.6,336,1295:29:00,16:49,61,82,42.7,50,165,34,69
2024_2025,73,Matvei Michkov,20,PHI,RW,80,26,37,63,-18,46,18,8,0,3,28,9,0,200,13,359,1334:45:00,16:41,19,22,46.3,23,29,14,82
2024_2025,74,Nick Schmaltz,28,UTA,C,82,20,43,63,-15,14,11,9,0,3,27,16,0,186,10.8,374,1524:14:00,18:35,185,191,49.2,45,14,31,93
2024_2025,75,Ryan Donato,28,CHI,C,80,31,31,62,-15,41,26,5,0,3,22,9,0,182,17,336,1304:44:00,16:19,234,291,44.6,18,104,23,48
2024_2025,76,Jonathan Huberdeau,31,CGY,LW,81,28,34,62,-13,34,15,10,3,6,20,13,1,153,18.3,267,1582:54:00,19:33,13,26,33.3,64,50,23,88
2024_2025,77,Josh Morrissey,29,WPG,D,80,14,48,62,17,22,11,3,0,2,29,19,0,172,8.1,433,1951:18:00,24:23:00,0,0,,113,49,32,78
2024_2025,78,Mika Zibanejad,31,NYR,C,82,20,42,62,-22,22,13,7,0,0,24,12,6,183,10.9,383,1538:31:00,18:46,549,507,52,46,44,29,83
2024_2025,79,Adam Fox,26,NYR,D,74,10,51,61,9,32,8,1,1,2,32,17,2,135,7.4,339,1720:25:00,23:15,0,0,,108,40,40,76
2024_2025,80,Tomáš Hertl,31,VEG,C,73,32,29,61,-3,20,18,14,0,3,20,9,0,177,18.1,320,1249:31:00,17:07,536,422,55.9,56,99,29,45
2024_2025,81,Jared McCann,28,SEA,C,82,22,39,61,8,18,18,4,0,3,26,12,1,202,10.9,418,1411:17:00,17:13,109,135,44.7,50,47,29,66
2024_2025,82,Gabriel Vilardi,25,WPG,C,71,27,34,61,9,14,15,12,0,6,21,13,0,130,20.8,232,1287:40:00,18:08,75,77,49.3,50,21,22,41
2024_2025,83,Kevin Fiala,28,LAK,LW,81,35,25,60,-7,38,21,14,0,6,14,11,0,244,14.3,517,1499:36:00,18:31,15,22,40.5,22,63,30,88
2024_2025,84,Dylan Guenther,21,UTA,RW,70,27,33,60,-4,26,15,12,0,9,16,17,0,204,13.2,450,1189:48:00,0.708333333,10,19,34.5,42,53,18,55
2024_2025,85,Marco Rossi,23,MIN,C,82,24,36,60,3,26,17,7,0,3,27,9,0,136,17.6,265,1496:09:00,18:15,464,528,46.8,41,62,18,60
2024_2025,86,Anthony Cirelli,27,TBL,C,80,27,32,59,30,28,20,3,4,2,27,2,3,160,16.9,291,1495:14:00,18:41,647,645,50.1,72,25,21,66
2024_2025,87,Patrick Kane,36,DET,RW,72,21,38,59,-16,12,9,12,0,6,21,17,0,175,12,334,1294:31:00,17:59,5,8,38.5,23,19,13,77
2024_2025,88,Vincent Trocheck,31,NYR,C,82,26,33,59,0,44,15,5,6,7,25,7,1,202,12.9,380,1730:07:00,21:06,910,624,59.3,78,214,33,95
2024_2025,89,William Eklund,22,SJS,LW,77,17,41,58,-7,29,10,6,1,2,29,10,2,151,11.3,324,1505:36:00,19:33,11,25,30.6,46,54,15,75
2024_2025,90,Matthew Knies,22,TOR,LW,78,29,29,58,7,43,24,5,0,6,18,10,1,152,19.1,258,1444:10:00,18:31,0,1,0,41,182,14,51
2024_2025,91,Teuvo Teräväinen,30,CHI,F,82,15,43,58,-23,12,8,7,0,0,24,17,2,111,13.5,224,1399:23:00,17:04,60,93,39.2,29,27,23,76
2024_2025,92,Pavel Buchnevich,29,STL,LW,76,20,37,57,10,23,18,2,0,3,25,10,2,145,13.8,295,1446:01:00,19:02,85,143,37.3,32,44,15,70
2024_2025,93,Morgan Geekie,26,BOS,C,77,33,24,57,3,22,29,4,0,4,19,5,0,150,22,307,1302:52:00,16:55,173,201,46.3,29,110,31,51
2024_2025,94,Bo Horvat,29,NYI,C,81,28,29,57,-4,16,23,3,2,7,25,4,0,243,11.5,449,1634:03:00,20:10,767,552,58.2,40,100,22,91
2024_2025,95,Kent Johnson,22,CBJ,C,68,24,33,57,2,16,19,4,1,4,20,11,2,123,19.5,258,1175:59:00,17:18,0,8,0,29,3,21,64
2024_2025,96,Connor McMichael,24,WSH,C,82,26,31,57,19,49,22,4,0,5,24,6,1,177,14.7,321,1378:18:00,16:49,51,58,46.8,36,39,20,68
2024_2025,97,Sean Monahan,30,CBJ,C,54,19,38,57,19,20,12,7,0,2,28,7,3,128,14.8,214,1026:48:00,19:01,616,555,52.6,34,30,13,52
2024_2025,98,Jake Sanderson,22,OTT,D,80,11,46,57,-14,12,6,5,0,4,17,25,4,195,5.6,421,1955:22:00,24:27:00,0,0,,163,38,53,98
2024_2025,99,Shea Theodore,29,VEG,D,67,7,50,57,18,26,5,2,0,2,33,17,0,128,5.5,333,1473:28:00,0.916666667,0,0,,82,6,28,105
2024_2025,100,Matthew Tkachuk,27,FLA,LW,52,22,35,57,-3,54,11,11,0,2,23,12,0,156,14.1,316,948:02:00,18:14,1,4,20,12,84,10,47
2024_2025,101,Kirill Kaprizov,27,MIN,LW,41,25,31,56,19,16,21,4,0,5,21,10,0,145,17.2,311,921:09:00,22:28,0,2,0,17,16,12,59
2024_2025,102,Jonathan Marchessault,34,NSH,C,78,21,35,56,-29,37,17,4,0,4,16,19,0,206,10.2,381,1402:12:00,17:59,17,50,25.4,25,77,10,89
2024_2025,103,Brock Nelson,33,2TM,C,80,26,30,56,8,18,20,3,3,7,26,4,0,193,13.5,360,1513:00:00,18:55,630,579,52.1,43,35,40,50
2024_2025,103,Brock Nelson,33,NYI,C,61,20,23,43,2,14,16,1,3,6,20,3,0,162,12.3,290,1180:37:00,19:21,491,439,52.8,36,26,30,34
2024_2025,103,Brock Nelson,33,COL,C,19,6,7,13,6,4,4,2,0,1,6,1,0,31,19.4,70,332:23:00,17:30,139,140,49.8,7,9,10,16
2024_2025,104,Troy Terry,27,ANA,C,77,21,34,55,0,20,17,4,0,4,27,7,0,188,11.2,368,1451:23:00,18:51,12,20,37.5,29,7,22,68
2024_2025,105,Brady Tkachuk,25,OTT,LW,72,29,26,55,0,123,15,14,0,5,17,9,0,296,9.8,506,1313:06:00,18:14,178,169,51.3,33,228,19,48
2024_2025,106,Quinton Byfield,22,LAK,C,81,23,31,54,16,46,19,3,1,4,27,4,0,157,14.6,352,1508:30:00,18:37,416,526,44.2,33,80,24,68
2024_2025,107,Adam Fantilli,20,CBJ,C,82,31,23,54,4,18,28,2,1,3,20,2,1,191,16.2,394,1433:11:00,17:29,420,598,41.3,56,113,23,89
2024_2025,108,Anders Lee,34,NYI,LW,82,29,25,54,3,35,24,5,0,3,21,4,0,233,12.4,392,1398:57:00,17:04,12,15,44.4,39,121,12,67
2024_2025,109,Tyler Toffoli,32,SJS,C,78,30,24,54,-21,14,24,6,0,1,15,9,0,233,12.9,410,1320:30:00,16:56,13,11,54.2,32,54,18,52
2024_2025,110,Mats Zuccarello,37,MIN,LW,69,19,35,54,0,22,16,3,0,6,22,13,0,151,12.6,294,1356:17:00,19:39,14,21,40,48,32,29,77
2024_2025,111,Erik Karlsson,34,PIT,D,82,11,42,53,-24,20,9,2,0,1,29,13,0,191,5.8,507,1905:20:00,23:14,0,0,,94,29,44,140
2024_2025,112,Ryan McLeod,25,BUF,C,79,20,33,53,13,16,17,0,3,2,28,2,3,97,20.6,199,1329:19:00,16:50,630,574,52.3,35,17,26,70
2024_2025,113,Timo Meier,28,NJD,RW,80,26,27,53,7,58,19,7,0,5,21,6,0,238,10.9,525,1428:46:00,17:52,8,18,30.8,65,141,22,73
2024_2025,114,Ryan O'Reilly,33,NSH,C,79,21,32,53,-23,24,12,9,0,3,24,8,0,151,13.9,270,1500:05:00,18:59,746,593,55.7,72,20,31,64
2024_2025,115,Mikhail Sergachev,26,UTA,D,77,15,38,53,-8,32,11,3,1,3,18,20,0,132,11.4,367,1934:00:00,25:07:00,0,0,,140,61,32,126
2024_2025,116,Steven Stamkos,34,NSH,C,82,27,26,53,-36,48,13,14,0,6,19,7,0,174,15.5,356,1475:59:00,0.75,395,399,49.7,46,66,18,57
2024_2025,117,Carter Verhaeghe,29,FLA,C,81,20,33,53,-14,46,15,5,0,5,22,11,0,241,8.3,481,1447:24:00,17:52,16,28,36.4,28,95,23,81
2024_2025,118,Jason Zucker,33,BUF,LW,73,21,32,53,4,57,10,11,0,4,22,10,0,143,14.7,279,1167:33:00,0.666666667,42,64,39.6,22,68,20,73
2024_2025,119,Pavel Dorofeyev,24,VEG,LW,82,35,17,52,2,30,22,13,0,7,13,4,0,254,13.8,436,1355:11:00,16:32,3,13,18.8,37,28,24,55
2024_2025,120,Mason McTavish,22,ANA,C,76,22,30,52,0,38,16,6,0,2,24,6,0,180,12.2,352,1282:33:00,16:53,487,474,50.7,31,70,18,51
2024_2025,121,Ivan Barbashev,29,VEG,C,70,23,28,51,26,10,21,2,0,3,27,1,0,111,20.7,231,1175:53:00,16:48,12,21,36.4,33,104,18,78
2024_2025,122,Sam Bennett,28,FLA,C,76,25,26,51,-15,90,18,7,0,4,22,4,0,241,10.4,422,1326:28:00,17:27,450,523,46.2,45,145,27,57
2024_2025,123,John Carlson,35,WSH,D,79,5,46,51,17,22,4,1,0,0,33,13,0,167,3,393,1861:34:00,23:34,0,0,,131,49,36,112
2024_2025,124,Juraj Slafkovsky,20,MTL,LW,79,18,33,51,4,45,13,5,0,1,28,5,0,133,13.5,286,1370:34:00,17:21,5,14,26.3,62,194,16,71
2024_2025,125,Chandler Stephenson,30,SEA,C,78,13,38,51,-9,24,10,1,2,1,21,17,0,72,18.1,129,1521:44:00,19:31,760,714,51.6,50,33,30,58
2024_2025,126,Brad Marchand,36,2TM,LW,71,23,28,51,-7,64,18,5,0,5,19,8,1,194,11.9,380,1301:01:00,18:19,5,8,38.5,34,81,21,86
2024_2025,126,Brad Marchand,36,BOS,LW,61,21,26,47,-8,62,16,5,0,5,17,8,1,175,12,341,1124:48:00,18:26,5,7,41.7,27,66,19,71
2024_2025,126,Brad Marchand,36,FLA,LW,10,2,2,4,1,2,2,0,0,0,2,0,0,19,10.5,39,176:13:00,17:37,0,1,0,7,15,2,15
2024_2025,127,Brock Boeser,27,VAN,RW,75,25,25,50,-25,16,16,9,0,3,14,11,0,145,17.2,321,1362:06:00,18:10,15,40,27.3,34,76,18,37
2024_2025,128,Conor Garland,28,VAN,RW,81,19,31,50,-13,52,12,7,0,4,22,9,0,171,11.1,355,1511:01:00,18:39,5,13,27.8,58,49,20,63
2024_2025,129,Claude Giroux,37,OTT,C,81,15,35,50,-8,18,11,4,0,3,20,14,1,138,10.9,237,1474:38:00,18:12,600,376,61.5,41,64,19,66
2024_2025,130,Thomas Harley,23,DAL,D,78,16,34,50,32,16,15,1,0,3,20,14,0,171,9.4,396,1823:49:00,23:23,0,0,,110,33,29,118
2024_2025,131,Evgeni Malkin,38,PIT,C,68,16,34,50,-24,42,12,4,0,3,22,12,0,125,12.8,253,1209:25:00,17:47,290,343,45.8,48,32,30,79
2024_2025,132,Cole Perfetti,23,WPG,C,82,18,32,50,14,20,13,5,0,2,22,10,0,143,12.6,284,1245:20:00,15:11,21,46,31.3,45,71,20,55
2024_2025,133,Brayden Schenn,33,STL,C,82,18,32,50,3,61,16,2,0,5,27,5,0,144,12.5,278,1440:00:00,17:34,618,564,52.3,55,194,13,56
2024_2025,134,Jamie Benn,35,DAL,LW,80,16,33,49,3,70,15,1,0,4,24,9,0,136,11.8,255,1224:06:00,15:18,296,233,56,45,114,13,58
2024_2025,135,Ryan Nugent-Hopkins,31,EDM,C,78,20,29,49,4,24,11,7,2,5,16,13,0,164,12.2,293,1479:53:00,18:58,270,287,48.5,48,26,29,49
2024_2025,136,Jaden Schwartz,32,SEA,C,81,26,23,49,-6,24,20,6,0,6,19,4,0,194,13.4,356,1448:30:00,17:53,34,34,50,42,43,43,60
2024_2025,137,Jake DeBrusk,28,VAN,LW,82,28,20,48,-15,18,14,14,0,4,15,5,0,171,16.4,304,1365:14:00,16:39,11,18,37.9,48,96,13,47
2024_2025,138,Kyle Palmieri,33,NYI,RW,82,24,24,48,-17,20,19,5,0,2,19,4,1,169,14.2,363,1518:20:00,18:31,13,20,39.4,48,54,18,55
2024_2025,139,Andrei Svechnikov,24,CAR,RW,72,20,28,48,-8,59,10,10,0,2,20,8,0,180,11.1,378,1232:11:00,17:07,1,3,25,22,148,17,99
2024_2025,140,Jakob Chychrun,26,WSH,D,74,20,27,47,17,52,15,5,0,6,17,10,0,179,11.2,458,1558:45:00,21:04,0,0,,87,59,35,80
2024_2025,141,Matthew Coronato,22,CGY,RW,77,24,23,47,6,25,19,5,0,4,11,12,0,180,13.3,375,1353:38:00,17:35,68,91,42.8,37,36,23,48
2024_2025,142,Elias Lindholm,30,BOS,C,82,17,30,47,-4,14,14,2,1,3,16,12,2,151,11.3,301,1482:23:00,18:05,759,615,55.2,79,114,22,39
2024_2025,143,Mason Marchment,29,DAL,F,62,22,25,47,15,53,17,5,0,4,20,5,0,134,16.4,257,951:04:00,15:20,12,13,48,21,79,22,58
2024_2025,144,Dmitri Voronkov,24,CBJ,LW,73,23,24,47,17,55,15,8,0,1,21,3,0,154,14.9,260,1225:27:00,16:47,37,52,41.6,47,71,11,58
2024_2025,145,MacKenzie Weegar,31,CGY,D,81,8,39,47,18,33,4,4,0,0,20,17,2,184,4.3,474,1957:19:00,24:10:00,0,1,0,192,223,52,159
2024_2025,146,Pavel Zacha,27,BOS,C,82,14,33,47,-8,21,10,2,2,5,27,5,1,132,10.6,257,1563:07:00,19:04,393,346,53.2,26,63,24,62
